lithofm,geoarea1,geoarea2,lithogp,chrono,rock1,rock2,rock3,fossils1,fossils2,depo,depo2,depo3,depo4
EkofiskFm,CentralNorthSea,NorthernNorthSea,ChalkGp,UpperCretaceous,Limestone,,,CalcareousNannofossils,,MarineDepositionalEnv,OuterShelfDepositionalEnvironment,,
HerringFm,CentralNorthSea,,ChalkGp,UpperCretaceous,Limestone,Mudstone,,Foraminifera,,MarineDepositionalEnv,ShelfDepositionalEnvironment,,
HidraFm,CentralNorthSea,,ChalkGp,UpperCretaceous,Limestone,Mudstone,,Foraminifera,,MarineDepositionalEnv,OpenMarine,,
MackerelFm,CentralNorthSea,,ChalkGp,UpperCretaceous,Limestone,,,Foraminifera,,MarineDepositionalEnv,ShelfDepositionalEnvironment,OpenMarine,
TorFm,CentralNorthSea,NorthernNorthSea,ChalkGp,UpperCretaceous,Limestone,,,CalcareousNannofossils,,MarineDepositionalEnv,ShelfDepositionalEnvironment,OpenMarine,
FlounderFm,NorthernNorthSea,,ShetlandGp,UpperCretaceous,Mudstone,Limestone,,Foraminifera,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,,
JorsalfareFm,NorthernNorthSea,,ShetlandGp,UpperCretaceous,Mudstone,Limestone,,Foraminifera,,MarineDepositionalEnv,OpenMarine,DeepMarineDepositionalEnvironment,
KyrreFm,NorthernNorthSea,,ShetlandGp,UpperCretaceous,Mudstone,,,Foraminifera,Foraminifera,MarineDepositionalEnv,DeepMarineDepositionalEnvironment,OpenMarine,
MacbethFm,NorthernNorthSea,,ShetlandGp,UpperCretaceous,Mudstone,Limestone,,Foraminifera,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,,
SvarteFm,NorthernNorthSea,,ShetlandGp,UpperCretaceous,Mudstone,Limestone,,Foraminifera,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,,
LarkFm,NorthernNorthSea,CentralNorthSea,WestrayGp,Oligocene,Mudstone,,,,,MarineDepositionalEnv,OuterShelfDepositionalEnvironment,,
SkadeFm,NorthernNorthSea,CentralNorthSea,WestrayGp,Oligocene,Sandstone,,,,,MarineDepositionalEnv,InnerShelfDepositionalEnvironment,,
